date,item,price,class
2023-02-01,Chick-fil-a Nuggets,Unknown,food
2023-02-01,Meal-CFASan,7.99,food
2023-02-01,Nugget 12ct,0,food
Unknown,PERR LMN SPRKLNG W,23,food
Unknown,SP SPK MN WTR33.8Z,23,food
2011-11-28,MEIJER SALT,0.49,food
2011-11-28,CHILI POWDER,0.69,food
2011-11-28,KA WHTE W WHT F,3.99,other
2011-11-28,MEIJER CONT FF,1.07,other
2011-11-28,HRSY RSS CH CHP,2,food
2014-01-10,Sh Wht Mocha,3.25,food
2022-06-22,FLAMETHROWER SGL,6.19,home/appliances
2022-06-22,flame sauce on side,0,food
2022-06-22,REG FRY,3.19,food
2022-06-22,FLAMETHROWER DBL,6.99,home/appliances
2022-06-22,REG ONION RINGS,3.79,food
2023-09-03,FUN 5 PERSONAL 5,7.25,other
2023-09-03,PLASTIC BAG,0.2,home/appliances
Unknown,Texas BBQ®,20.99,food
Unknown,GATORADE FRUIT PUNCH,1.78,food
2006-04-07,START FLUID,1.42,transportation
2006-04-07,POLISH RMVR,1.67,home/appliances
2006-04-07,NAIL DRY,1.97,home/appliances
2006-04-07,SPRAY BOTTLE,0.5,home/appliances
2006-04-07,1PK LTR,0.97,other
2006-04-07,91 ALCOHOL,1.94,entertainment/alcohol
Unknown,RENEGADE SIRLOIN',Unknown,food
Unknown,FLAT IRON STEAK*,Unknown,food
Unknown,RIBEYE-,Unknown,food
Unknown,NEW YORK STRIP,Unknown,food
Unknown,"""FLO'S",Unknown,food
Unknown,PRIME RIB*,Unknown,food
2013-10-07,NTRGRN32VARF,8.78,food
2013-10-07,NUTELA35.30F,6.65,food
2013-10-07,EGGOWAFFLESF,9.98,food
2013-10-07,ALMOND MILKF,7.98,food
2013-10-07,ZOOANIMALCRF,7.98,food
2013-10-07,OLIVE OIL 2F,13.48,food
2013-10-07,CH 16CT HAMF,2.56,food
2013-10-07,B/S CKI BRSF,17.58,food
2013-10-07,GRND TURKEYF,12.95,food
2013-10-07,BIGSEXY 100,11.98,home/appliances
2013-10-07,DP 32 PACK F,7.98,home/appliances
Unknown,ITEM,1,other
Unknown,3,1,other
2018-05-08,Organic Brown Eggs,3.49,food
2018-05-08,Mini Bagged Donuts,1.69,food
2018-05-08,Cabbage,1.19,food
2018-05-08,101b Russet Potato,3.69,food
2018-05-08,Deli Sliced Cheese,1.79,food
2018-05-08,Organic Spring Mix,3.79,food
2018-05-08,Hot Dog Buns,0.85,food
2023-05-19,SmokeShack Single,11.8,food
2023-05-19,Fries,4.8,food
2023-05-19,Chicken Bites 6 Count - BBQ Sauce,6.7,food
2011-11-22,FROZEN ONIONS,1.98,food
2011-11-22,MEIJER KETCHUP,1.59,food
2011-11-22,ICE CREAM,599,food
2011-11-22,TORTILLA CHP,2.99,food
2011-11-22,COCACOLA,550,food
2011-11-22,DEPOSIT,4.8,other
Unknown,WINDSHIELD STICKER,Unknown,home/appliances
Unknown,CHILD SAFETY FUND,50.75,other
Unknown,A 4 QUARTER-POUND CHEESEBURGERS,19.99,food
Unknown,CHICKEN CRITTERS' (16,19.99,food
Unknown,GRILLED CHICKEN,22.99,food
Unknown,PULLED PORK (2 LBS.),24.99,food
Unknown,SIRLOIN STEAKS,34.99,food
Unknown,"BEEF TIPS (2 LBS ., COOKED MEDIUM)",39.99,food
Unknown,RIBS (THREE HALF SLABS),39.99,food
Unknown,"RIBEYES (THREE - 12 OZ. CUTS, COOKED MEDIUM).",44.99,food
2015-06-18,3PC ALC O/R,3.79,entertainment/alcohol
2017-04-07,Chocolate Chip Cooki,5,food
2017-04-07,Lava Cake,4,food
2008-10-20,BANANA EC,1.54,food
2008-10-20,HAIRCOLOR,7.94,home/appliances
2008-10-20,JACKASS NUM,4,other
2008-10-20,DONUTS,3.5,food
2021-01-12,Name of produe!,15,other
2021-01-12,Name of product,15,other
2021-01-12,Name of produc!,Unknown,other
2021-01-12,25 SETS/PACK,Unknown,other
2021-01-12,Nome of product,Unknown,other
Unknown,CAPRI CHERRY 10PK,Unknown,food
Unknown,BARILLA GRLC ALFRD,1.37,food
Unknown,EX CAPRI CHERRY 10PK,2.89,food
Unknown,$5 SUSHI WEDNESDAY,Unknown,food
Unknown,KG/ADE GLACIER CHER,13.98,food
2013-03-23,Chicken & Gnocchi,7.75,food
2013-03-23,Kids Chicken Fingers,-6.95,food
2013-03-23,Salad,Unknown,food
,FRESH MILK,0.89,food
,MJESLI,2.29,food
,DARK CHOCOLATE,1.9,food
2019-07-23,ChixHan Wrap Drink,4.25,food
2019-07-23,Chrixtaf w Egg Meal,5.4,food
2019-07-23,Small Ided Milo,0.8,food
2019-07-23,Chixkam Mrap-Drink,4.25,food
2019-07-23,Tea with Milk,5.4,food
2019-07-23,Small Iced Milo,0.8,food
2019-06-13,SM Calamari,11.98,food
2019-06-13,Lobster Roll,25,food
2019-06-13,Kale Salad - Shrimp,18,food
2019-06-13,Snapper Entree,28,food
2022-02-27,COMBO,8.79,food
2022-02-27,L-0100-OFF COMBO 8-,-1,food
Unknown,FLOUR 12 LBan,18.79,food
Unknown,KS BATH,12.49,home/appliances
Unknown,KS ORG A2 PR,14.49,food
Unknown,KS CHEWY PRO,18.49,food
Unknown,BEER BAT COD,14.99,food
Unknown,KS BACON,7.99,food
Unknown,BAGELS,11.99,food
Unknown,SMKD TURKEY,4.19,food
Unknown,CAGE FREE,249.99,food
Unknown,MANTLE CLOCK,44.89,home/appliances
Unknown,BULLEIT 7 YR,Unknown,entertainment/alcohol
Unknown,KS MALBEC,6.99,entertainment/alcohol
Unknown,PURE VANILLA,11.99,food
Unknown,MF QN SHEETS,15.99,home/appliances
Unknown,KS DISH PACS,10.79,home/appliances
2015-04-01,W AM Z RISER E E,5.6,home/appliances
2018-01-01,Lorem,6.5,other
2018-01-01,Ipsum,7.5,other
2018-01-01,Dolor Sit,48,other
2018-01-01,Amet,9.3,other
2018-01-01,Adipiscing Elit,1.2,other
2018-01-01,Sed Do,0.4,other
2015-01-05,small Boneless,10.49,food
2015-01-05,Veggie Boat,1.99,food
2015-01-05,BASKET FRIES,7.98,food
2015-01-05,KID DOG,4.49,food
2015-01-05,KID TENDERS,4.79,food
2015-01-05,SIDE MACARONI,6.58,food
2015-01-05,Snack Boneless,16.58,food
2015-01-05,MED BAR SOFT BEV,1.99,food
2019-08-14,Donut,1.19,food
2019-08-14,Ht Cof SM OrigBind,1.79,food
Unknown,Hot Dog,7.09,food
Unknown,Little Cheeseburger,8.69,food
,TAGLIATELLE 500G,0.69,food
,PINE/PUMPKIN SEEDS,1.45,food
,CREME FRAICHE 200G,0.89,food
,SPINACH BABY,0.49,food
,MUSHROOM 433G,1.39,food
2022-09-24,202 Corn Dog,401.98,food
2022-09-24,Tender,0,food
2018-05-24,TH - ICED COFFEE,2.24,food
2018-05-24,TH - DONUT,0.99,food
2022-05-02,Beef Crunchy Taco,3.78,food
2022-05-02,NO Sauce Packet,0,food
2009-01-26,TAMPONS,Unknown,home/appliances
2009-01-26,LIP COLOR,7.97,home/appliances
2009-01-26,GUM,1.99,food
2009-01-26,FLOSS,3.69,home/appliances
2009-01-26,SHRED CHEESE,1.89,food
2009-01-26,SNK CRACKER,2,food
2009-01-26,MIR WIP LIGH,2.5,food
2009-01-26,GRIN SCAMPI,Unknown,food
2009-01-26,EXTRA COUPON,Unknown,other
Unknown,Shack Stack,Unknown,food
Unknown,Avocado Bacon Chicken,Unknown,food
Unknown,Chicken Bites,Unknown,food
Unknown,CRINKLE,Unknown,food
2023-10-26,"12"" #23 PepSal2xChz Sub",9.99,food
2017-04-30,voilog r.mutes,11.98,other
2017-04-30,EASTER CANDY,0.9,food
Unknown,'AAA' 32 PK,15.99,home/appliances
Unknown,"40PK ""AA""",15.99,home/appliances
Unknown,CKN BRST MT,11.99,food
Unknown,ORGANIC CEL,3.49,food
Unknown,DURACELLD/14,15.99,home/appliances
Unknown,ROMAINE,3.99,food
Unknown,KS SLCD HAM,8.93,food
Unknown,KS RST TRKEY,11.92,food
Unknown,CUCUMBERS,3.29,food
Unknown,TNB PEP,8.99,food
Unknown,JARLBG WEDGE,12.18,food
Unknown,MIXED PEPPER,5.99,food
Unknown,BEEF RIB EYE,44.46,food
Unknown,KS CF EGGS,3.69,food
2020-04-28,SthPnt Mosct 750ml,4.99,entertainment/alcohol
2022-11-01,SNACK BOX,5,food
Unknown,L CLASS Simply cheese,8.74,food
Unknown,L CLASS Chicken Suprem,8.74,food
Unknown,BRD Cheesy GB,8.74,food
Unknown,Ea Chocolate Mousse,8.74,food
Unknown,Desserts,Unknown,food
2023-10-24,GP Cavit Pinot Grigio,12.75,entertainment/alcohol
2023-10-24,Soup & Salad,12.49,food
2023-10-24,Minestrone,Unknown,food
2019-03-29,OSTEO BIFLE,28.47,home/appliances
2019-03-29,MM POTASSIU,5.98,home/appliances
2019-03-29,MM'S JEANS,12.98,clothing
2019-03-29,PYREX 20PC,14.81,home/appliances
2019-03-29,MM B/S BRSTF,10.49,clothing
2019-03-29,GROUND BEEFF,21.47,food
2019-03-29,RBK8PKQTRSO,9.98,other
2019-03-29,3RBK PERF B,12.98,home/appliances
2019-03-29,BEEF ROUNDSF,24.67,food
2019-03-29,BILA TOP,16.44,clothing
2019-03-29,SALSA,6.98,food
2019-03-29,FROSTEDFLAKF,6.98,food
2019-03-29,CHERRY TRNVF,4.98,food
2019-03-29,40CTMAPLEOAF,7.98,food
2019-01-01,Green,Unknown,other
2019-01-01,Brown,Unknown,other
2019-01-01,Honey,Unknown,food
2019-01-01,Orange Juice,5,food
2019-01-01,White Potato,24.25,food
2019-01-01,AYellow,Unknown,other
2019-01-01,White Bread,9.25,food
2019-01-01,Purple Tomato,24.25,food
2019-01-01,Fish,Unknown,food
2019-01-01,Sweet Cake,Unknown,food
2019-01-01,Green Apples,5.3,food
2019-01-01,Brown Bread,9.25,food
2007-12-24,ALL THE PRETTY H,14.95,entertainment/alcohol
2009-07-17,ROSEMARY SOURDGH,3.99,food
2009-07-17,TORTILLA FLOUR 10C,1.99,food
2009-07-17,KETA SLMN PORTIONS,2.73,food
2009-07-17,VENDOR,-0.5,other
2009-07-17,SPCD SWT POTA CHIP,3.69,food
2009-07-17,ONN GRL YKN GLD CH,3.19,food
2009-07-17,CER OG PR CIN HVST,3.99,food
2009-07-17,365 PASTA ELBOWS,1.39,food
2009-07-17,CHOC SANDWCH CREME,3.49,food
2009-07-17,CHOC CHIP GRANOLA,3.99,food
2009-07-17,PLAIN CRM ON TOP,2.99,food
2009-07-17,SALTED TOTOPOS CHP,Unknown,food
2009-07-17,LIMEADE,1.5,food
2009-07-17,SIN YG ORG LF RASP,-0.99,food
2009-07-17,CRMY PEANUT BTTR,2.39,food
2009-07-17,ORGANIC UHT WHOLE,3.99,food
2009-07-17,STN OG WHITE CHOC,0.99,food
2009-07-17,SIN YGT ORG LF LMN,0.98,food
2009-07-17,SOY SILK VANILLA,3.49,food
2009-07-17,MEDIUM BROWN EGGS,3.99,food
2009-07-17,FLOUR ALL PURPOSE,2.99,food
2009-07-17,365 PECANS CINNMN,4.99,food
2009-07-17,SOY SILK CHOCOLATE,3.29,food
2009-07-17,GOLD RIM ICE CRM,5.99,food
2009-07-17,WSR BLK FRST HAM,4.49,food
2009-07-17,HNY MAPLE TURKEY,4.99,food
2009-07-17,N365 HSMKD BACON,4.99,food
2009-07-17,CHKN BRST CUTLET,4.71,food
2009-07-17,CHAN BRST OUTLET,4.95,food
2009-07-17,CHIN BRST CUTLET,4.71,food
2009-07-17,PRK SRLN THIN PPK,6.92,food
2009-07-17,CHEDDAR,4.33,food
2009-07-17,DOMESTIC MUENSTER,3.98,food
2020-02-02,MMKS BATH,16.99,home/appliances
2020-02-02,WMKS TOWELMM,16.99,home/appliances
2020-02-02,KLXTRUS CARE,19.49,home/appliances
2020-02-02,"40PK AA""",16.99,home/appliances
2020-02-02,QUINOA SALAD,9.87,food
2020-02-02,ROM JUICE,9.59,food
2020-02-02,CAPE COD RF,6.29,food
2020-02-02,DAVE'S 21 WG,7.99,food
2020-02-02,SIMMER SAUCE,13.69,food
,McDouble,Unknown,food
,2,1.75,other
,Hot&Spicy McChicken,1.75,food
,L Sprite,1,food
2023-03-11,Classic Chk Sand Combo,8.99,food
2019-11-08,MAI THAA RICE,6,food
2019-11-08,M UNSMOKED BACON,2.25,food
2019-11-08,M BEST CHIPOLATAS,2.5,food
2019-11-08,M RTS COMBI CUSTARD,0.7,food
2019-11-08,M CHICKEN THIGHS,2.35,food
2019-11-08,M PORK RIBS,3.45,food
2019-11-08,M BRIT S/SKIM MILK,0.8,food
2019-11-08,M LARGE GARLIC,0.5,food
2019-11-08,M RED GRAPES,4,food
2019-11-08,M SALAD PEPPERS,1.25,food
2019-11-08,M ROYAL GALA APPLES,1,food
2019-11-08,M SALAD TOMATOES,0.75,food
2019-11-08,M GINGER,0.05,food
2019-11-08,M SALMON PORTIONS,4,food
2019-11-08,MSALAD ONIONS,0.55,food
2019-11-08,M WONKY LEMONS,0.8,food
2019-11-08,M BANANAS,0.71,food
2019-11-08,M S/F+PUMPKIN BREAD,1,food
2019-11-08,M FREE RANGE EGGS,1.7,food
Unknown,FV ICE COFF,10.98,food
Unknown,NY DEP FEE,0.05,food
Unknown,CHOC,2.48,food
Unknown,600g,4.99,other
Unknown,CKr Rice Crig 100g,0.89,food
Unknown,Yog BBerry 150g,,food
Unknown,Tomato Bellino200g,4,food
Unknown,Raspberries 125g,3.99,food
Unknown,Onion Brown 1kg,49,food
Unknown,Brioche Slider12pk,6.99,food
Unknown,Wmeal Slc Brd 650g,2.49,food
Unknown,Shepard Avo 5pk,5.49,food
Unknown,Strawberries 500g,,food
Unknown,NevelOrange per kg,79,food
Unknown,Asparagus bunch,1.99,food
Unknown,CIROCERIES 10%,20.6,food
Unknown,Almonds 750g,8.99,food
Unknown,Muesli Bars 185g,1.99,food
Unknown,Capsicums 750g,6.99,food
Unknown,Yog Strawberry150g,1.29,food
Unknown,Yog Van 150g,Unknown,food
Unknown,Red Onion per kg,0,food
Unknown,Cusumb Leb per kg,0.44,food
2019-09-15,POPCORN SHRIMP COMBO,8.99,food
2019-09-15,5PC BONELESS WINGS,2.99,food
Unknown,SKIPPY PNT BIR,4,food
Unknown,LUCERNE FINE SHRD,1.99,food
Unknown,MIX VEGETABL,1.5,food
2021-06-06,Smoked Brisket Meal,9,food
2021-06-06,RB Double Meal,8,food
2021-06-06,Cherry Turnover,,food
Unknown,WHOPPER CHS,8.99,food
2023-12-11,Berry Waffle Slam,15.29,food
2023-02-05,Lorem ipsum dolor sit,30,other
Unknown,PRESSED ORGANIC GRE,5.99,food
Unknown,GREEN PT JUICE,1.99,food
Unknown,ICE SHOT TURMERIC,3.98,food
Unknown,AG FEE,Unknown,other
2020-04-27,BELKIN SCREE,24.99,home/appliances
2020-04-27,EVUTEC CASE,39.99,home/appliances
2020-07-15,VDAGER 2% RF MILK,2.39,food
2020-07-15,BLM CHARGE,0.59,food
Unknown,DOZ FREE RANGE EGG,3.89,food
Unknown,GV ORGANIC MILK 2%,4.19,food
Unknown,SBUX FRENCH ROAST WL,8.99,food
2023-10-26,Large Soda,3.09,food
2014-09-18,COLD FOOD BAR NP,4.85,food
2018-07-19,SALSA ESPECIAL MILD,2.99,food
2018-07-19,ORG GARBANZO BEANS,0.99,food
2018-07-19,ORG BLACK BEANS,0.99,food
2018-07-19,WHOLE KERNEL CORN SWEET & CRSP,0.89,food
2018-07-19,RICE BROWN MEDLEY,1.99,food
2018-07-19,AVOCADO EACH HASS,2.78,food
2018-07-19,HERB CILANTRO BUNCH,1.99,food
2018-07-19,SHREDDED MILD CHEDDAR,2.99,food
2018-07-19,GREENS KALE 10 OZ,2.29,food
2018-07-19,ORG WHITE CORN TORTILLA CHIPS,2.69,food
2014-06-08,Nacho Bgrnde Bf,2.99,food
2014-06-08,Chalupa Spr Chk,2.99,food
2014-06-08,Cinnamon Twist,0.89,food
2014-06-08,HH Beverage,1,food
2020-07-28,Ice Cof MD OrigBlnd,5.38,food
2014-10-10,SILVER EARS,4.97,clothing
2014-10-10,HSY SNACK SZ,2.5,food
2014-10-10,GLDFSH BULK,7.48,food
2014-10-10,COV LSHBLST,6.94,home/appliances
2014-10-10,PAPER TOWEL,5.47,home/appliances
2023-08-28,ORGANIC,Unknown,food
2023-08-28,SQU,64.99,other
2023-08-28,CANDY SNAP,7.99,food
2018-08-17,^ LYSOL,5.99,home/appliances
2018-08-17,MFR COUPON,Unknown,other
2018-08-17,^ TIDE 2X,11.99,home/appliances
2018-08-17,CATEGORY COUPON,15,other
1994-10-08,GROCERY,1.56,food
1994-10-08,MAPLE SYRUP,-18.62,food
1994-10-08,CAYENNE,,food
1994-10-08,SEA SALT,,food
1994-10-08,TOL MOLASSES BLA,,food
1994-10-08,MTN SUN JCE APPL,-4.99,food
2013-05-23,HY TOP 2% MILK,1.76,food
2013-05-23,KING KELLY ORG.,2.82,food
2013-05-23,HY TOP TOMATOES,1.16,food
2013-05-23,H/T OLIVE OIL,2.98,food
2013-05-23,DARIGOLD BUTTER,2.38,food
2013-05-23,HY TOP DJ MUST,0.91,clothing
2013-05-23,ITE NY SSG,2.98,other
2013-05-23,AMERICAN HERT.C,1.28,other
2013-05-23,COOL WHIP 8 OZ,1.22,food
2013-05-23,PILLS SUGAR CKY,5,food
2013-05-23,PER PZA TOPPIN,1.98,food
2013-05-23,H/T LT CRM CHS,1.08,food
2013-05-23,CANTECA TORTILL,1.78,food
2013-05-23,DOLE PINEAPPLE,1.38,food
2013-05-23,PETALUMA 18CT L,2.14,other
2013-05-23,H/I SHRD CLBYJK,1.48,food
2013-05-23,HUNTS MANWICH,0.98,food
2013-05-23,HY TOP VEG OIL,1.79,food
2013-05-23,HY TOP RAISINS,1.81,food
2013-05-23,ROMAINE LETTUC,1.48,food
2013-05-23,KALE,1.28,food
2013-05-23,H/T SHARP CHDDR,2.78,food
2013-05-23,ROSARITA BEANS,0.88,food
2013-05-23,EL PATO TOMATO,0.55,food
2013-05-23,1#\STRAWBERRIES6919740402,1.98,food
2013-05-23,KIWI FRUIT,1.92,food
2013-05-23,"LEMONS, LARGE",1.36,food
2013-05-23,"COFFEE, BULK BNS",5.72,food
2013-05-23,"ONIONS,RED",1.35,food
2013-05-23,"SUGAR, BROWN",1.78,food
2013-05-23,"FLOUR, UNBLEACHED",1.22,food
2013-05-23,"POPCORN, YELLOW",3.33,food
2013-05-23,"CHIPS, IMIT CHOC",85,food
2013-05-23,PANKO BRD CRMBS,22,food
2013-05-23,PAPRIKA SMK HOT,44,food
2013-05-23,CHIPS. REESES,63,food
2013-05-23,"PSTA,ELBOW MAC",60,food
2013-05-23,"CASHEWS, WHOLE",0.96,food
Unknown,.disiwna 09 Del Fee,2.5,transportation
Unknown,MEIJER MILK,Unknown,food
Unknown,CHEEZ-IT,Unknown,food
Unknown,MJR SSG LINK,3.29,food
Unknown,TAV BACON,9.18,food
2017-04-26,"JIMMY DEAN SAUSAGE, EGG & CHEES",10.98,food
2017-04-26,SARGENTO SWEET BALANCED BREAKS,13.98,food
2017-04-26,JIMMY DEAN MEAT LOVERS BOWLS (8,Unknown,food
2017-04-26,MM WATER 45/16.9 OZ,6.72,food
2017-04-26,USDA CHOICE ANGUS RIBEYE STEAK |,26.9,food
2017-04-26,MEMBER'S MARK 2% REDUCED FAT M,4.76,food
2020-01-11,2 MILK,1.79,food
2020-01-11,FREEZER BAGS,4.66,home/appliances
2020-01-11,OF REPLENISH,14.98,other
2020-01-11,HE SH SF HN,5.97,other
2020-01-11,NTG UG CM CL,8.22,other
2020-01-11,MAY MASCARA,6.78,home/appliances
2020-01-11,KING SIZE,1.48,home/appliances
2020-01-11,M MS HZLNT,2.98,food
2020-01-11,MUFFINS,2.48,food
2020-01-11,OS STL CRUI,6.97,food
2020-01-11,OS BDYWASH,4.97,home/appliances
2020-01-11,QTIPS SWABS,5.88,home/appliances
2020-01-11,CLG OW TP,7.96,home/appliances
2020-01-11,TOOTHPASTE,4.83,home/appliances
2020-01-11,SE FRESH 24,4.98,food
2020-01-11,VIVA SIG 6D,9.98,home/appliances
2020-01-11,RX -20 2IN1,2.97,home/appliances
2019-01-20,COLD BEVERAGE,2.99,food
2019-01-20,"6 FILT &RG SHRP,",27.99,food
2010-05-26,LARGE AA EGGS,1.59,food
2010-05-26,CPN LUCERNE LARGE,9.95,food
2010-05-26,CPN OM MEAT HOT DO,4,food
2010-05-26,SCANNED COUPON,1,other
2010-05-26,MC SCANNED COUPON,1,other
2010-05-26,MO SCANNED COUPON,1,other
2019-12-29,MeisterShack,6.5,food
2019-12-29,Cheese Fries,4,food
2019-12-29,Choc Shake,4.95,food
2014-11-23,S/2 Knox Yellow Sconces,150,home/appliances
2016-11-07,SM BF&CHDR CLSC,Unknown,food
2016-11-07,SM MOZZ,Unknown,food
2016-11-07,SM PEPSI,Unknown,food
Unknown,Pretzel Tubs,Unknown,food
Unknown,Banana WE,1.09,food
Unknown,OS Kitchen 45 Ct,4.99,food
Unknown,Garlic/CheeseToast,1.69,food
Unknown,Flour Tortillas,1.89,food
Unknown,Cheese Snack Stick,1.59,food
Unknown,2-Ply FacialTissue,1.19,home/appliances
Unknown,ToasterTart,Unknown,food
Unknown,Fabric Soft. Sheet,Unknown,home/appliances
Unknown,Ricotta Cheese,1.99,food
Unknown,aster Tarts,Unknown,food
Unknown,Alfredo Sauce,0.79,food
Unknown,Dinos & Sharks Snk,Unknown,food
Unknown,Skim Milk,Unknown,food
Unknown,AlmondMilk,2.49,food
Unknown,Brown Sugar,1.19,food
Unknown,Iceberg Lettuce,0.89,food
Unknown,Condensed Milk,1.39,food
Unknown,2-21y Facial Tissue,1.59,home/appliances
Unknown,Mini Morsels,Unknown,food
Unknown,Chili Beans,0.59,food
Unknown,Heavy whipping CRM,1.89,food
Unknown,Swiss Rolls,1.05,food
Unknown,Prem Liq Ldry Det,5.99,home/appliances
Unknown,Juice Pouches,Unknown,food
Unknown,Cheese Curls,0.99,food
Unknown,Pita Chips,1.99,food
Unknown,Wavy Potato Chips,1.49,food
Unknown,Cheese Puffs,Unknown,food
Unknown,Sliced Pepperoni,1.99,food
Unknown,Veg Chips/Straws,1.89,food
Unknown,Cream Cheese,0.89,food
Unknown,Iced Brownies,2.99,food
Unknown,Hummus,1.99,food
Unknown,Gal. Twinlock Bags,1.99,home/appliances
Unknown,Mini Muffins,1.99,food
Unknown,Bronze Cut Pasta,1.29,food
Unknown,Cheese Shreds Cup,1.99,food
Unknown,Honey Nut Oats,1.69,food
Unknown,4502 VegOil Spread,1.79,food
Unknown,Powdered Sugar,1.99,food
Unknown,Quart Twinlock Bag,Unknown,home/appliances
Unknown,MIN Muffins,1.45,food
Unknown,Unsalted Butter,1.89,food
Unknown,Mint Muffins,1.99,food
Unknown,Fruity&Cocoa Rice,1.79,food
Unknown,CinnCrunch Squares,0,food
Unknown,Split Top Wht Bra,0.99,food
2016-03-06,JENNIE-O,2.99,other
2020-07-15,KDAGER 2% RF MILK,2.39,food
2022-05-29,MOZZ STICKS 8PC,2.79,food
2022-05-29,2 BIG KING MIX,5,food
2015-09-18,HULA HAWAIIAN 11,8,food
2015-09-18,HNR PEPPERONI 11,5,food
Unknown,WHOPPER JR,Unknown,food
Unknown,RODEO BURGER,Unknown,food
Unknown,GHST PEP NUG 8PC,1.49,food
Unknown,MD FRY,2.29,food
2023-03-25,PYSFR11,599,transportation
2023-03-25,830026Z,36.99,home/appliances
2023-03-25,830022Z,36.99,home/appliances
2021-09-06,4 1b. Sugar,8.08,food
2022-05-04,Stück Relaxed Fit Cotton short,19.99,clothing
2022-05-04,Stück Baumwoll-T-Shirt Relaxed Fit,9.99,clothing
2022-05-04,Stück Sneaker aus Canvas,19.99,clothing
2022-05-04,Stück Sweatshirt Relaxed Fit,12.99,clothing
2017-11-13,6 WING PLATE,3.98,food
2017-11-13,ASST 27,4.88,other
2017-11-13,CUTIE CAR,12.88,home/appliances
Unknown,Chocolate Chunk Cookie,1.99,food
Unknown,#9 Italian Club,7.19,food
Unknown,Jalapeno Chips,1.5,food
Unknown,Thinny Chips,1.5,food
Unknown,Diet Coke (med),1.79,food
2017-08-10,DR PEPPER,13.44,food
2017-08-10,PRNA DRY CAT,799,other
2017-08-10,FRESH STEP,11.79,food
2017-08-10,POTATO CHIPS,3.98,food
2017-08-10,LACROIX WATER,7.98,food
2017-08-10,ARNOLD PALMER,7.98,entertainment/alcohol
2017-08-10,MAC & CHEESE,3,food
2017-08-10,DRY CAT FOOD,3.5,home/appliances
2017-08-10,Voilos mutert,-1.5,other
2024-03-23,Chkn Noodle Soup,1.98,food
2024-03-23,Large Chkn Noodle Soup,1.98,food
2024-03-23,Larg Sweet Peas,1.98,food
2024-03-23,Chic Sweet Peas,0.64,food
2024-03-23,Chic,0.64,food
2024-03-23,Chi( Sweet Peas,Unknown,food
2024-03-23,Sweet Peas,0.64,food
2024-03-23,Chi Sweet Peas,0.64,food
2024-03-23,Chi,Unknown,food
2024-03-23,Ch Sweet Peas,0.64,food
2024-03-23,Pol,Unknown,food
2024-03-23,Po Sweet Peas,0.64,food
2017-02-07,SKINNYPOP,4.98,food
2017-02-07,MMCARAMELS,7.86,food
2017-02-07,CINN ROLLS,6.78,food
2017-02-07,SW SALAD,2.58,food
2017-02-07,2# KR COLBY,6.98,food
2017-02-07,ASIAN SALADI,2.58,food
2017-02-07,CRACKERS IF,6.62,food
2017-02-07,GREEN GRAPEI,7.98,food
2018-06-22,FAMILY PACK PEPPERS,1.09,food
2018-06-22,QUARTERPOUNDERS,1.99,food
2018-06-22,FRESH CHICKEN THIGHS 1,1.65,food
2018-06-22,ROCKET LOLLIES,1.09,food
2018-06-22,CHARCOAL BRIQUETTES 5K,2.89,home/appliances
2018-06-22,SWEETCORN,1.15,food
2018-06-22,SLICED WHITE ROLLS,0.85,food
2018-06-22,BRASSERIE SHANDY,1.49,clothing
2018-06-22,CHEESY SINGLES,0.69,food
2018-06-22,MARINADE SAUCES,0.85,food
2018-06-22,SALAD CREAM,0.62,food
2018-06-22,TOMATO KETCHUP,0.45,food
2018-06-22,SEASON ALL SEASONING,0.55,food
,PNT REG MT GALOR,17.9,food
,SPICY SFD PARCHM,14.9,food
Unknown,880 Sauce,0,food
2012-08-22,#5 Vito,4.25,food
Unknown,TYRLS VINGR SEA,2.75,food
Unknown,ČP CARRIER BAG,0.05,home/appliances
2015-02-22,"#8 CHICK STRIPS,",7.89,food
2015-02-22,"SPEC BAN SPLIT,",4.29,food
2018-12-23,CHEESE,10.99,food
2018-12-23,"CHX TENDERS PLAT,",14.99,food
2018-12-23,TILAPIA,13.49,food
2018-12-23,GRILL COBB SAL,14.49,food
2018-12-23,LOADED MASH,3.99,food
2018-12-23,STEAKHOUSE MAC,4.99,food
2018-09-09,ROMAINE LETTUCE,0.45,food
2018-09-09,YELLOW BANANAS,3.99,food
2018-09-09,ORGANIC RAW ALMONDS,2.64,food
2018-09-09,EZEKIEL 4:9 BREAD,0.5,food
2018-09-09,1LB PKG STRAWBERRIES,5,food
2018-09-09,ANGEL SWEET TOMATOES,5.98,food
2018-09-09,ASPARAGUS,9.02,food
2018-09-09,CAULIFLOWER,2.87,food
2018-09-09,CELERY STALKS,2.98,food
2018-09-09,GALA APPLES,2.47,food
2018-09-09,GREEN LEAF LETTUCE,1.29,food
2019-06-12,6pc Hash Brown,0.99,food
2023-12-04,DEIT COLD DAD,9.44,other
Unknown,TEXAS TONION,Unknown,food
Unknown,WILD WEST,Unknown,other
2006-12-23,REG LIMES,1.32,food
2006-12-23,BELL PEPPERS,3.96,food
2006-12-23,ONIONS YELLOW JUMB,,food
2006-12-23,COCONUT,1.99,food
2006-12-23,TRAD TURKEY DINNER,37.99,food
